Time,CPU Usage (%),RAM Usage (%)
2022-12-08 07:11:47,3.3935546875,33.5
2022-12-08 07:12:17,3.2470703125,33.3
2022-12-08 07:12:47,3.1005859375,33.5
2022-12-08 07:13:17,3.1005859375,33.3
2022-12-08 07:13:47,2.9541015625,33.5
2022-12-08 07:14:17,3.23486328125,34.1
2022-12-08 07:14:47,3.08837890625,33.9
2022-12-08 07:15:17,3.08837890625,33.5
2022-12-08 07:15:47,3.22265625,33.5
2022-12-08 07:16:17,3.076171875,33.5
2022-12-08 07:16:47,3.22265625,33.4
2022-12-08 07:17:17,3.4912109375,33.6
2022-12-08 07:17:47,3.4912109375,33.6
2022-12-08 07:18:17,3.3447265625,33.7
2022-12-08 07:18:47,3.3447265625,33.4
2022-12-08 07:19:17,3.3447265625,33.5
2022-12-08 07:19:47,3.1982421875,33.5
2022-12-08 07:20:17,5.99365234375,34.0
2022-12-08 07:20:47,5.92041015625,33.7
2022-12-08 07:21:17,6.11572265625,33.7
2022-12-08 07:21:47,5.89599609375,33.5
2022-12-08 07:22:17,5.95703125,33.4
2022-12-08 07:22:47,5.7373046875,33.5
2022-12-08 07:23:17,5.517578125,33.7
2022-12-08 07:23:47,5.2978515625,33.5
2022-12-08 07:24:17,5.078125,33.6
2022-12-08 07:24:48,4.8583984375,33.5
2022-12-08 07:25:18,4.78515625,33.4
2022-12-08 07:25:48,4.5654296875,33.4
2022-12-08 07:26:18,6.14013671875,34.0
2022-12-08 07:26:48,6.06689453125,33.9
2022-12-08 07:27:18,5.84716796875,33.8
2022-12-08 07:27:48,5.77392578125,33.5
2022-12-08 07:28:18,5.55419921875,33.5
2022-12-08 07:28:48,5.33447265625,33.5
2022-12-08 07:29:18,5.11474609375,33.5
2022-12-08 07:29:48,4.89501953125,33.5
2022-12-08 07:30:18,4.67529296875,33.7
2022-12-08 07:30:48,4.47998046875,33.5
2022-12-08 07:31:18,4.60205078125,33.6
2022-12-08 07:31:48,4.6875,33.5
2022-12-08 07:32:18,6.77490234375,33.8
2022-12-08 07:32:48,6.94580078125,33.9
2022-12-08 07:33:18,6.689453125,33.5
2022-12-08 07:33:48,6.4697265625,33.5
2022-12-08 07:34:18,6.25,33.5
2022-12-08 07:34:48,6.0302734375,33.6
2022-12-08 07:35:18,5.810546875,33.3
2022-12-08 07:35:48,5.5908203125,33.5
2022-12-08 07:36:18,5.65185546875,33.5
2022-12-08 07:36:48,5.43212890625,33.4
2022-12-08 07:37:18,5.62744140625,33.5
2022-12-08 07:37:48,5.87158203125,33.5
2022-12-08 07:38:18,8.2275390625,33.9
2022-12-08 07:38:48,7.8857421875,33.8
2022-12-08 07:39:18,7.5927734375,33.4
2022-12-08 07:39:48,7.2998046875,33.4
2022-12-08 07:40:18,7.0556640625,33.3
2022-12-08 07:40:48,6.77490234375,33.6
2022-12-08 07:41:18,6.5185546875,33.2
2022-12-08 07:41:48,6.298828125,33.4
2022-12-08 07:42:18,6.494140625,33.4
2022-12-08 07:42:48,6.4208984375,33.4
2022-12-08 07:43:18,6.48193359375,33.5
2022-12-08 07:43:48,6.40869140625,33.4
2022-12-08 07:44:18,7.12890625,33.8
2022-12-08 07:44:48,6.8359375,33.7
2022-12-08 07:45:18,6.60400390625,33.4
2022-12-08 07:45:48,6.4208984375,33.4
2022-12-08 07:46:18,6.201171875,33.5
2022-12-08 07:46:48,5.94482421875,33.4
2022-12-08 07:47:18,5.76171875,33.4
2022-12-08 07:47:49,5.6884765625,33.5
2022-12-08 07:48:19,5.46875,33.5
2022-12-08 07:48:49,5.2490234375,33.5
2022-12-08 07:49:19,5.322265625,33.4
2022-12-08 07:49:49,5.1025390625,33.6
2022-12-08 07:50:19,5.31005859375,33.7
2022-12-08 07:50:49,5.09033203125,33.8
2022-12-08 07:51:19,5.1513671875,33.6
2022-12-08 07:51:49,4.931640625,33.6
2022-12-08 07:52:19,4.7119140625,33.5
2022-12-08 07:52:49,4.77294921875,33.6
2022-12-08 07:53:19,4.69970703125,33.5
2022-12-08 07:53:49,4.4921875,33.5
2022-12-08 07:54:19,4.60205078125,33.6
2022-12-08 07:54:49,4.43115234375,33.7
2022-12-08 07:55:19,4.28466796875,33.4
2022-12-08 07:55:49,4.43115234375,33.5
2022-12-08 07:56:19,4.28466796875,34.0
2022-12-08 07:56:49,4.13818359375,33.8
2022-12-08 07:57:19,3.99169921875,33.6
2022-12-08 07:57:49,3.84521484375,33.6
2022-12-08 07:58:19,3.84521484375,33.5
2022-12-08 07:58:49,3.69873046875,33.6
2022-12-08 07:59:19,3.55224609375,33.6
2022-12-08 07:59:49,3.40576171875,33.2
2022-12-08 08:00:19,3.25927734375,33.3
2022-12-08 08:00:49,3.11279296875,33.4
2022-12-08 08:01:19,3.38134765625,33.6
2022-12-08 08:01:49,3.38134765625,33.5
2022-12-08 08:02:19,3.23486328125,33.9
2022-12-08 08:02:49,3.08837890625,33.8
2022-12-08 08:03:19,3.369140625,33.7
2022-12-08 08:03:49,3.369140625,33.7
2022-12-08 08:04:19,3.22265625,33.7
2022-12-08 08:04:49,3.076171875,33.3
2022-12-08 08:05:19,2.9296875,33.3
2022-12-08 08:05:49,2.783203125,33.7
2022-12-08 08:06:19,2.91748046875,33.5
2022-12-08 08:06:49,2.77099609375,33.4
2022-12-08 08:07:19,2.77099609375,33.5
2022-12-08 08:07:49,2.77099609375,33.4
2022-12-08 08:08:19,2.62451171875,33.9
2022-12-08 08:08:49,2.62451171875,33.5
2022-12-08 08:09:19,2.62451171875,33.5
2022-12-08 08:09:49,2.47802734375,33.5
2022-12-08 08:10:19,2.33154296875,33.6
2022-12-08 08:10:49,2.2216796875,33.4
2022-12-08 08:11:20,2.1484375,33.3
2022-12-08 08:11:50,2.0751953125,33.5
2022-12-08 08:12:20,2.001953125,33.5
2022-12-08 08:12:50,1.9287109375,33.3
2022-12-08 08:13:20,2.1484375,33.7
2022-12-08 08:13:50,2.294921875,33.7
2022-12-08 08:14:20,2.4658203125,34.2
2022-12-08 08:14:50,2.4658203125,34.0
2022-12-08 08:15:20,2.3193359375,33.7
2022-12-08 08:15:50,2.2216796875,33.4
2022-12-08 08:16:20,2.294921875,33.7
2022-12-08 08:16:50,2.20947265625,33.5
2022-12-08 08:17:20,2.13623046875,33.5
2022-12-08 08:17:50,2.06298828125,33.4
2022-12-08 08:18:20,1.98974609375,33.5
2022-12-08 08:18:50,2.06298828125,33.3
2022-12-08 08:19:20,2.64892578125,33.5
2022-12-08 08:19:50,2.50244140625,33.6
2022-12-08 08:20:20,4.26025390625,33.9
2022-12-08 08:20:50,4.11376953125,33.7
2022-12-08 08:21:20,3.96728515625,33.6
2022-12-08 08:21:50,3.96728515625,33.7
2022-12-08 08:22:20,3.82080078125,33.7
2022-12-08 08:22:50,3.82080078125,33.6
2022-12-08 08:23:20,3.67431640625,33.2
2022-12-08 08:23:50,3.80859375,33.3
2022-12-08 08:24:20,3.662109375,33.4
2022-12-08 08:24:50,4.4921875,33.5
2022-12-08 08:25:20,4.62646484375,33.2
